Durham_id,Site,SampleDate,SampleTime,Method,pH,SpecCond,DOC_mgL,TDN_mgL,DON_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,Al_mgL,Ca_mgL,Fe_mgL,K_mgL,Mg_mgL,Mn_mgL,Na_mgL,S_mgL,SiO2_mgL,Sr_mgL,Zn_mgL,LocationType,GWType,X,Y
SG-110,86_4_s1,2019-07-12T00:00:00Z,1899-12-31T09:37:00Z,pump,5.14,15.1,5.75,0.6,0.26,0.05,0.92,1.19,2.11,0.17,0.09,0.08,0.072,0.001,0.37,0.78,0.04,0.38,0.13,0.01,1,0.72,5.01,0.005,0.038,G3,shallow,281815.4747,4870632.36
SG-111,N1,2019-07-12T00:00:00Z,1899-12-31T13:29:00Z,pump,4.74,17.7,16.96,0.75,0.48,0.04,0.8,0.88,0.87,0.47,0.29,0.18,0.066,0.09,0.73,0.39,0.39,0.78,0.22,0.17,0.67,0.4,5.92,0.004,0.444,G1,shallow,281655.4060,4871219.0000
SG-112,A7,2019-07-12T00:00:00Z,1899-12-31T09:15:00Z,pump,5.22,14.23,4.87,0.51,0.25,0.03,0.9,0.94,2.26,0.18,0.08,0.11,0.047,0.001,0.32,0.55,0.13,0.33,0.15,0.03,1.09,0.77,4.38,0.006,0.04,G3,deep_intoC,281757.2500,4870606.0000
SG-113,D1,2019-07-12T00:00:00Z,1899-12-31T15:55:00Z,pump,5.05,12.86,4.5,0.34,0.3,0.05,0.67,0.04,2.23,0.19,0.08,0.11,0.037,0,0.35,0.41,0.04,0.21,0.11,0.01,0.9,0.75,3.89,0.005,0.011,G5,shallow,281751.0620,4870859.5000
SG-114,K8,2019-07-12T00:00:00Z,1899-12-31T15:18:00Z,pump,5.94,18.86,0.63,0.12,0.08,0.04,0.51,0.14,4.1,0,0,0,0.014,0.001,0.04,1.55,0.02,0.39,0.26,0,1.14,1.41,9.31,0.013,0.004,G4,deep_intoC,281684.7810,4871117.0000
SG-115,E4D,2019-07-12T00:00:00Z,1899-12-31T15:53:00Z,grab,4.61,12.82,9.8,0.25,0.21,0.02,0.33,0.11,1.24,0.38,0.2,0.18,0.011,0.001,0.57,0.27,0.07,0.08,0.1,0.01,0.47,0.47,2.72,0.003,0.007,1,stream,281791.7519,4870863.5
SG-116,E4B,2019-07-12T00:00:00Z,1899-12-31T15:56:00Z,grab,4.64,13.19,9.24,0.22,0.2,0.02,0.29,0.09,1.27,0.35,0.19,0.16,0.005,0.001,0.55,0.27,0.05,0.07,0.1,0.01,0.45,0.49,2.77,0.003,0.006,1,stream,281741.5651,4870839.5
SG-117,PB25,2019-07-12T00:00:00Z,1899-12-31T11:52:00Z,grab,4.84,10.57,4.15,0.14,0.12,0.01,0.4,0.08,1.5,0.22,0.09,0.13,0.005,0,0.32,0.25,0.01,0.04,0.06,0.02,0.43,0.52,2.68,0.003,0.004,1,stream,281791.7747,4871126.775
SG-118,PB26,2019-07-12T00:00:00Z,1899-12-31T11:46:00Z,grab,4.82,10.68,4.05,0.15,0.13,0.01,0.35,0.08,1.45,0.23,0.09,0.14,0.007,0.001,0.34,0.24,0.01,0.03,0.06,0.02,0.42,0.52,2.57,0.003,0.005,1,stream,NA,NA
SG-119,PB27,2019-07-12T00:00:00Z,1899-12-31T11:39:00Z,grab,4.62,12.76,6.55,0.24,0.21,0.01,0.35,0.07,1.19,0.31,0.13,0.18,0.012,0.001,0.43,0.16,0.04,0.03,0.05,0.02,0.34,0.45,2.22,0.002,0.004,1,stream,281795.5,4871172.805
SG-120,S24,2019-07-12T00:00:00Z,1899-12-31T15:29:00Z,grab,5.42,9.35,1.68,0.06,0.05,0.02,0.4,0.01,1.94,0.05,0.01,0.03,0.005,0,0.09,0.46,0,0.02,0.11,0.01,0.67,0.67,4.13,0.004,0.005,1,stream,281691.5,4871020.796
SG-121,W4C,2019-07-12T00:00:00Z,1899-12-31T15:32:00Z,grab,5.55,9.09,1.52,0.08,0.07,0.02,0.39,0.03,2.09,0.04,0.02,0.02,0.007,0,0.1,0.53,0,0.05,0.13,0.01,0.63,0.68,3.87,0.005,0.005,1,stream,281695.5545,4870998.446
SG-122,Weir3,2019-07-12T00:00:00Z,1899-12-31T08:27:00Z,grab,5.73,8.66,4.05,0.14,0.12,0.02,0.32,0.08,1.78,0.12,0.07,0.04,0.003,0,0.23,0.53,0.01,0.07,0.15,0,0.63,0.6,4.1,0.005,0.003,6,weir,NA,NA
SG-123,E0A,2019-07-12T00:00:00Z,1899-12-31T08:33:00Z,grab,5.92,10.92,2.92,0.15,0.13,0.02,0.32,0.07,2.57,0.07,0.03,0.03,0.005,0.001,0.15,0.73,0,0.07,0.2,0,0.78,0.84,5.9,0.007,0.002,1,stream,NA,NA
SG-124,E0E,2019-07-12T00:00:00Z,1899-12-31T08:49:00Z,grab,5.5,13.2,2.01,0.07,0.06,0.03,0.36,0,3.42,0.1,0.03,0.07,0.007,0.001,0.17,0.75,0,0.09,0.2,0,0.9,1.15,6.19,0.008,0.004,1,stream,NA,NA
SG-125,W4B,2019-07-12T00:00:00Z,1899-12-31T15:35:00Z,grab,5.72,8.71,1.52,0.07,0.07,0.02,0.38,0.01,2.06,0.04,0.03,0.01,0.004,0.001,0.08,0.5,0,0.05,0.12,0,0.65,0.69,3.98,0.004,0.006,1,stream,281700.5,4870982.304
SG-126,W4A,2019-07-12T00:00:00Z,1899-12-31T15:38:00Z,grab,5.91,8.76,1.68,0.08,0.05,0.02,0.41,0.08,2.1,0.04,0.01,0.02,0.005,0,0.07,0.52,0,0.05,0.13,0,0.67,0.68,4.11,0.005,0.004,1,stream,281704.9512,4870945.049
SG-127,PB18,2019-07-12T00:00:00Z,1899-12-31T15:45:00Z,grab,5.38,8.41,4.01,0.14,0.12,0.02,0.31,0.06,1.6,0.14,0.08,0.07,0.007,0.001,0.26,0.43,0,0.04,0.12,0.01,0.56,0.54,3.64,0.004,0.003,3,stream,281721.5,4870886.257
SG-128,52_3_s1,2019-07-16T00:00:00Z,1899-12-31T11:46:00Z,pump,4.68,12.49,7.6,0.23,0.2,0.01,0.46,0.06,1.23,0.41,0.15,0.26,0.019,0.002,0.55,0.14,0.22,0.08,0.06,0.03,0.46,0.45,3.01,0.002,0.006,G2,shallow,281790.3689,4871221.759
SG-129,52_4_s1,2019-07-16T00:00:00Z,1899-12-31T11:28:00Z,pump,4.85,11.69,3.92,0.13,0.11,0.02,0.37,0.04,1.76,0.31,0.08,0.23,0.007,0,0.45,0.22,0.02,0.08,0.08,0.01,0.46,0.62,3.15,0.003,0.008,G2,shallow,281788.928,4871187.1
SG-130,A7,2019-07-16T00:00:00Z,1899-12-31T09:18:00Z,pump,5.01,11.88,3.21,0.16,0.09,0.02,0.42,0.29,2.56,0.26,0.06,0.21,0.003,0,0.38,0.31,0.02,0.06,0.07,0,0.7,0.83,4.94,0.005,0.005,G3,deep_intoC,281757.2500,4870606.0000
SG-131,D1,2019-07-16T00:00:00Z,1899-12-31T14:47:00Z,pump,5.22,10.96,3.87,0.22,0.19,0.06,0.45,0.03,2.43,0.14,0.07,0.08,0.018,0.001,0.25,0.41,0.03,0.15,0.12,0.01,0.82,0.79,3.63,0.006,0.005,G5,shallow,281751.0620,4870859.5000
SG-132,K8,2019-07-16T00:00:00Z,1899-12-31T13:39:00Z,pump,5.88,18.8,0.47,0.07,0.02,0.04,0.48,0.17,4.06,0.03,0.01,0.01,0.005,0.004,0.03,1.69,0.02,0.41,0.27,0,1.15,1.35,9.28,0.015,0.003,G4,deep_intoC,281684.7810,4871117.0000
SG-133,PB18,2019-07-16T00:00:00Z,1899-12-31T14:11:00Z,grab,5.62,8.95,2.61,0.15,0.08,0.02,0.4,0.23,1.96,0.08,0.03,0.05,0.008,0,0.16,0.46,0,0.04,0.13,0.01,0.73,0.65,4.48,0.004,0.005,3,stream,281721.5,4870886.257
SG-134,Weir3,2019-07-16T00:00:00Z,1899-12-31T08:44:00Z,grab,5.99,10.02,2.47,0.1,0.08,0.03,0.39,0.05,2.47,0.04,0.02,0.02,0.008,0.001,0.12,0.59,0,0.08,0.18,0,0.87,0.81,5.64,0.005,0.014,6,weir,NA,NA
SG-135,52_4_s1,2019-07-23T00:00:00Z,1899-12-31T10:58:00Z,pump,4.78,12.65,3.73,0.2,0.15,0.03,0.47,0.16,1.81,0.25,0.08,0.17,0.012,0,0.37,0.27,0.02,0.13,0.09,0.02,0.56,0.6,3.31,0.003,0.01,G2,shallow,281788.928,4871187.1
SG-136,K8,2019-07-23T00:00:00Z,1899-12-31T14:06:00Z,pump,5.81,18.95,0.45,0.06,0.03,0.04,0.44,0.06,4.08,0.02,0,0.02,0.007,0.004,0.05,1.59,0.04,0.37,0.26,0,1.15,1.38,9.29,0.014,0.005,G4,deep_intoC,281684.7810,4871117.0000
SG-137,PB25,2019-07-23T00:00:00Z,1899-12-31T11:17:00Z,grab,5.21,10.27,2.39,0.12,0.09,0.02,0.46,0.08,2.27,0.11,0.04,0.07,0.012,0.001,0.18,0.47,0.01,0.06,0.13,0.02,0.63,0.73,3.93,0.005,0.004,1,stream,281791.7747,4871126.775
SG-138,Weir3,2019-07-23T00:00:00Z,1899-12-31T08:37:00Z,grab,6.18,11.37,2.57,0.18,0.14,0.03,0.39,0.16,2.47,0.03,0.02,0.01,0.003,0.001,0.13,0.67,0.01,0.12,0.22,0,0.91,0.83,6.29,0.005,0.003,6,weir,NA,NA
SG-139,PB18,2019-07-23T00:00:00Z,1899-12-31T14:42:00Z,grab,5.57,9.14,2.87,0.17,0.1,0.02,0.41,0.26,1.93,0.1,0.05,0.05,0.005,0.002,0.17,0.48,0,0.05,0.13,0.01,0.73,0.64,5.07,0.004,0.022,3,stream,281721.5,4870886.257
SG-140,W4A,2019-07-23T00:00:00Z,1899-12-31T14:25:00Z,grab,6.07,10.01,1.41,0.06,0.05,0.02,0.44,0.01,2.39,0.03,0.01,0.01,0.004,0.001,0.05,0.51,0,0.04,0.14,0,0.91,0.78,5.43,0.004,0.004,1,stream,281704.9512,4870945.049
SG-141,K8,2019-07-30T00:00:00Z,1899-12-31T13:49:00Z,pump,5.92,19.71,0.78,0.14,0.09,0.05,0.6,0.11,4.09,0.01,0,0,0.033,0.006,0.02,1.53,0.01,0.4,0.25,0,1.22,1.43,9.17,0.013,0.004,G4,deep_intoC,281684.7810,4871117.0000
SG-142,86_3_s1,2020-01-28T00:00:00Z,1899-12-31T09:33:00Z,pump,4.84,14.69,6.36,0.46,0.15,0.03,0.6,1.31,2.16,0.47,0.11,0.36,0.011,0.001,0.84,0.39,0.02,0.11,0.15,0.01,0.63,0.65,4.67,0,0.01,G2,shallow,281846.3742,4870628.727
SG-165,Weir3,2020-06-30T00:00:00Z,1899-12-31T14:04:00Z,grab,6.35,14.1,2.6830418433556074,0.16011877199986055,0.0794769805905943,0.039592380585049325,0.4558028229853598,0.3424811436115694,2.941820997822398,0.06885381645311511,0.01897425524859066,0.049879561204524456,0.003276443925048521,0.0020234518452065748,0.09236408351071355,0.8660864369009378,0.0011772580506861467,0.23710757035721647,0.30252675874372464,0.005244877061053338,1.2313751344997936,0.9696865844373284,7.51437149356889,0.010172506763500674,0.020228922255193016,6,weir,NA,NA
SG-166,Weir3,2020-07-01T00:00:00Z,1899-12-31T08:50:00Z,grab,6.15,10.3,3.3668078102982983,0.12986394410339103,0.069280962634322,0.02709882095857777,0.43893699147222176,0.25261704667104623,2.1237027323216235,0.0764692572201143,0.03192987117557941,0.04453938604453489,0.00351763360773321,0.002002033462299384,0.1292777233878451,0.7013353700533707,7.249159439913517e-4,0.1933303405971155,0.19640044386391706,0.004961689500654928,0.8394387046941147,0.7129486126967961,5.15474895090106,0.00853168349673186,0.013707684734020412,6,weir,NA,NA
SG-48,Weir3,2020-08-05T00:00:00Z,1899-12-31T08:45:00Z,grab,6.4,NA,3.2484480525185977,0.20225511615967723,0.154036346687122,0.05757390635332596,0.6895039608220915,0.1869924999812478,2.8766073229318003,0.05185496409452929,0.03524639200418905,0.016608572090340237,0.005977787719704128,0.0018581062527439486,0.10656790721015194,0.8205958684285696,0.011673568615656025,0.47604060628767036,0.29312025488697163,0.01796199853287416,1.6451917106510237,0.8516268095042281,7.71812254707945,0.00772235,0.048487,6,weir,NA,NA
SG-167,Weir3,2020-10-14T00:00:00Z,1899-12-31T09:21:00Z,NA,5.79,NA,3.7111752823070874,0.13818533805260097,0.114651852265326,0.01892260065535446,0.6540598715122191,0.09452341619836094,1.961188393964664,0.08188523245047542,0.0185,0.0633852324504754,0.00218096149217009,9.5e-4,0.16477748570147097,0.5311678429546013,0.0037,0.3197117940549294,0.16917941008466425,0.0059407793202218215,0.7526051775018981,0.6172933881927731,4.0570778822587,0.00371007,0.0603849,6,weir,NA,NA
SG-168,Weir3,2020-10-14T00:00:00Z,1899-12-31T15:53:00Z,NA,5.939999999999999,NA,3.55365944959832,0.10904897133890556,0.0923891279472962,0.01700470220655143,0.6497344061077039,0.06409515619571217,2.0642734917418646,0.0654825687214228,0.0185,0.0469825687214228,0.0021809614921700993,0.001482806213569158,0.1515711373676068,0.5213197344387978,0.0037,0.28624885762867214,0.16661464582785102,0.005105627818252798,0.6739957160398414,0.625766086078408,3.98819811446775,0.00343677,0.0064,6,weir,NA,NA
SG-169,42_2_s1,2020-10-14T00:00:00Z,1899-12-31T12:25:00Z,NA,4.420000000000001,NA,13.140017759540571,0.2854612585537422,0.27020929465083,0.00555,1.2313587864323121,0.026500000000000003,0.9352553870729158,0.39873873984269614,0.24788109920904228,0.15085764063365387,0.009265702333261159,0.01921411181628569,0.5113027794198424,0.13549077670098492,0.24120029173790383,0.2749212864013851,0.05593674379419661,0.06494059073236971,0.7588450805770847,0.32161881170125006,3.99164551612626,9e-4,0.0144292,G1,shallow,281626.546,4871231.05
SG-170,42_3_s1,2020-10-14T00:00:00Z,1899-12-31T12:59:00Z,NA,4.620000000000003,NA,5.626236195766295,0.41679630972824133,0.166722261799558,0.03219316340674044,1.1965848588541061,1.0427501448144836,1.0718032121818946,0.25222240257325057,0.09055068191096789,0.16167172066228266,0.014520269866417523,0.035819623790388756,0.35989832559910306,0.24315118494736493,0.11408874128239883,0.20853380386190495,0.05679393602206577,0.10535970789467876,0.6132570291331161,0.3221773945022955,3.18104078403876,0.00185191,0.0521636,G2,shallow,281637.4851,4871215.022
SG-171,V2,2020-10-14T00:00:00Z,1899-12-31T13:19:00Z,NA,4.799999999999999,NA,1.735871471425933,1.0559366093414326,0.119686282464603,0.019987444401624973,0.48415134423468575,4.080763584754094,1.204021521589596,0.37055975451071727,0.0185,0.35205975451071697,0.014419450565840982,0.002300835932059901,0.5357056504130291,0.23425574452632944,0.0241211934822665,0.18906434624841859,0.0817334046687464,0.22742233475686877,0.5651341376568673,0.3633220338304133,3.26717235095449,9.000000000000001e-4,0.0421936,G2,deep_intoC,281641.4801,4871207.708
SG-172,52_2_s1,2020-10-14T00:00:00Z,1899-12-31T11:11:00Z,NA,4.6499999999999995,NA,7.2290288794695226,0.25605921068460274,0.242034283125529,0.018164660849877605,0.9759948654354572,0.026500000000000003,1.2074944157595056,0.3484574323142252,0.14739669066985692,0.2010607416443683,0.008038665989425223,0.0034259778244134682,0.4799244269892312,0.14621983984992865,0.10945823812815092,0.18306528517640852,0.06328711430210633,0.0358752595847039,0.7241309085330976,0.3960421655416787,3.16988849656127,0.00236994,0.0862858,G1,shallow,281790.4303,4871243.602
SG-173,52_3_s1,2020-10-14T00:00:00Z,1899-12-31T11:25:00Z,NA,4.4700000000000015,NA,8.381381550338915,0.23958697904707324,0.223807473959898,0.01251073521493451,1.0876780496348881,0.026500000000000003,1.3592724634455324,0.38797879121292944,0.18226175779630274,0.2057170334166267,0.009793243517525889,0.00248923412901425,0.5021165349965735,0.11631424592237866,0.07366139732929868,0.18868973126079328,0.05966233877515187,0.03330438344803208,0.6354946917994063,0.45221898635370916,3.15556641996807,9e-4,0.0152172,G2,shallow,281790.3689,4871221.759
SG-174,52_4_s1,2020-10-14T00:00:00Z,1899-12-31T11:40:00Z,NA,4.8999999999999995,NA,4.570603773051405,0.17179400421627092,0.142833761314013,0.015830493200036575,0.778257821389457,0.0947323177347301,1.6140867147060782,0.27229878560895127,0.08884891465176922,0.18344987095718204,0.007560528447189968,9.5e-4,0.39903509088280104,0.20671804536849395,0.015803514463808916,0.42200537418899947,0.07277022845764522,0.01722179589266321,0.5244977472335677,0.5303069222057712,3.65180908002648,0.00203425,0.0064,G2,shallow,281788.928,4871187.1
SG-175,86_3_s1,2020-10-14T00:00:00Z,1899-12-31T09:58:00Z,NA,5.07,NA,7.79553319008877,0.7438498120798439,0.197451612310006,0.019232861301936993,0.9345878507172675,0.9240176691177686,1.9851755818797436,0.38847487614476883,0.16677015176137022,0.2217047243833986,0.3376656917578603,0.015779100731192455,0.7510849538313056,0.4240446779292287,0.05453702253247392,0.3110918019259925,0.155542797342196,0.014325098401632468,0.6998509038246271,0.6561426250012397,4.9149916600105,0.00281887,0.0137238,G2,shallow,281846.3742,4870628.727
SG-176,Weir3,2020-10-17T00:00:00Z,1899-12-31T10:10:00Z,NA,6.13,NA,4.252808671972318,0.12348431411803125,0.112946723714087,0.031225461372544512,0.7174810926137309,0.026500000000000003,1.8259187859039059,0.09906768214573419,0.06999826447769811,0.029069417668036085,0.004551328834294731,9.5e-4,0.21261052214484033,0.5337392634995943,0.02736585686251161,0.2813025009678869,0.1656471842172054,0.021448633746483436,0.7370422540014515,0.6130941669727599,4.08825240550734,0.00377657,0.0194882,6,weir,NA,NA
SG-177,Weir3,2020-10-17T00:00:00Z,1899-12-31T17:20:00Z,NA,5.8100000000000005,NA,3.9543576205241293,0.1342001207209405,0.122812580637885,0.02138147046635544,0.6484307072572922,0.026500000000000003,1.9089014902872254,0.09716025475046468,0.04939884908615418,0.04776140566431048,0.005401278513405765,9.5e-4,0.1994152615680187,0.5305492974663624,0.0037,0.2339628538658793,0.16331880806055138,0.006986742143218444,0.6983940670095711,0.6157628167628875,4.129643980536,0.00369761,0.0063999999999999994,6,weir,NA,NA
SG-178,42_2_s1,2020-10-17T00:00:00Z,1899-12-31T14:00:00Z,NA,4.3500000000000005,NA,15.071659286969126,0.31450906488228964,0.29726824933653,0.014810746015085285,1.0073162552299968,0.026500000000000003,0.7422911449446525,0.444369858880994,0.2793590618906389,0.1650107969903551,0.01125455397610832,0.01632675881303374,0.5623109874310082,0.080280729946062,0.248972269584796,0.10299382691972102,0.049169424669622985,0.06479232905489543,0.6580887702306598,0.28102548117134246,3.758951592958,9e-4,0.0064,G1,shallow,281626.546,4871231.05
SG-179,42_3_s1,2020-10-17T00:00:00Z,1899-12-31T14:15:00Z,NA,4.490000000000001,NA,9.199358506159877,0.3305384945940796,0.251113376451515,0.016284077348030963,0.9747988337020045,0.31322750660987975,0.9875398674376779,0.3880780422311364,0.18236636970524364,0.20571167252589276,0.008668069637807835,0.03701849393241006,0.5340258929345316,0.09287258740052515,0.07967074683335518,0.1373518374917948,0.036582748634999294,0.058430690888853866,0.5430585527797235,0.3389007816453689,2.99378884840883,9e-4,0.0064,G2,shallow,281637.4851,4871215.022
SG-180,42_4_s1,2020-10-17T00:00:00Z,1899-12-31T15:03:00Z,NA,5.05,NA,1.3558990679618053,0.06371961589055022,0.0322663076116478,0.011110120365557774,0.5225648376978701,0.10851370391042689,1.6065242833109352,0.1101976871109052,0.0185,0.091697687110905,0.00694042467515206,9.5e-4,0.17218735076344258,0.23328795042835562,0.0037,0.17621012150499937,0.0550226931730203,0.020836844522641403,0.3438379856687836,0.5499497606950576,2.53394209439594,9e-4,0.0064,G3,shallow,281660.3829,4871158.234
SG-181,V2,2020-10-17T00:00:00Z,1899-12-31T14:30:00Z,NA,4.8500000000000005,NA,1.4866095747534651,1.3827244305375908,0.174344300127149,0.01700211157821404,0.5220421214001945,5.291933385867663,0.9362653338122566,0.5145600826162242,0.0185,0.496060082616224,0.01295003769466277,9.5e-4,0.6217292968724597,0.24780607738036275,0.012792310137150327,0.1905460036106152,0.09015999847956016,0.2589880851081878,0.5809222662111696,0.2773396833181068,3.16285830024181,9e-4,0.0479278,G2,deep_intoC,281641.4801,4871207.708
SG-182,52_2_s1,2020-10-17T00:00:00Z,1899-12-31T12:45:00Z,NA,4.599999999999998,NA,7.372727533870503,0.224088911646171,0.197827471760518,0.014034246578879802,0.8356771156952693,0.06933414175768518,1.2026426259755663,0.3722519948661722,0.1422210065861947,0.23003098827997753,0.010599088630230243,0.0016898862620234613,0.5060741854185202,0.10693423318435598,0.06981387223892092,0.09468682370437878,0.05607556511960951,0.038777328064805404,0.4981697563057078,0.38998716434836045,3.24936077571882,9e-4,0.0064,G1,shallow,281790.4303,4871243.602
SG-183,52_3_s1,2020-10-17T00:00:00Z,1899-12-31T12:55:00Z,NA,4.54,NA,7.825930982365899,0.20141745304828035,0.17438172653177,0.013433951064137093,0.8992632341005011,0.08471634020213271,1.3449748271431992,0.380615715624089,0.16301465102336768,0.21760106460072134,0.00789858796279605,9.5e-4,0.5119982156098624,0.0869167236382249,0.07272128130547205,0.08557028059135369,0.05145400822611235,0.0296847470982226,0.5273895160353553,0.4456981458954929,3.03516108158,9e-4,0.0064,G2,shallow,281790.3689,4871221.759
SG-184,52_4_s1,2020-10-17T00:00:00Z,1899-12-31T13:10:00Z,NA,4.880000000000001,NA,4.294260206895676,0.1682958690029245,0.155535419070798,0.02283803952512631,0.6595437999845581,0.026500000000000003,1.7011886151592122,0.25224488581390325,0.07604680101706318,0.17619808479684007,0.006774188362475765,9.5e-4,0.4162120630686213,0.18369586332840246,0.023592833148244004,0.2177724737984532,0.06835032786998481,0.01424531683481045,0.5548534654839101,0.5608698574512523,3.47621914670671,0.00196447,0.0182535,G2,shallow,281788.928,4871187.1
SG-185,82_2_s1,2020-10-17T00:00:00Z,1899-12-31T11:33:00Z,NA,4.170000000000001,NA,31.917563079822393,1.709512251733749,0.67039243174397,0.07962949360105308,0.0667773814012782,4.510958955802131,1.5753074448085316,0.65216341155405,0.43349477602544306,0.21866863552860694,0.02010924491855564,0.09584300255461826,0.8355434917285978,1.722671387905006,0.5069282890631637,0.661352498839818,0.4003641374378357,0.08073875830746684,0.7678097298934073,0.6102663983706145,5.38557905274287,0.00794495,0.16005,NA,NA,NA,NA
SG-186,82_3_s1,2020-10-17T00:00:00Z,1899-12-31T11:17:00Z,NA,4.79,NA,8.21281197498392,0.3611803878552911,0.200084502136074,0.015067721912177348,0.0667773814012782,0.6852685065660795,1.9200942937954424,0.47814023170657594,0.16954737106883994,0.308592860637736,0.006296016823063341,9.5e-4,0.8341729846165951,0.36197390829165604,0.015858605519706456,0.13516039456535725,0.12320263768744111,0.010994768140207738,0.6700143813962461,0.6230065112528418,4.69758918182259,0.00286862,0.0064,NA,NA,NA,NA
SG-187,82_4_s1,2020-10-17T00:00:00Z,1899-12-31T11:06:00Z,NA,4.980000000000001,NA,5.03486096419303,0.19087876721566713,0.166996382253284,0.02139562439213337,0.87392214659176,0.06060466527421732,1.8087930304830286,0.3199285233479755,0.10057604785200418,0.2193524754959713,0.010191993314362185,9.5e-4,0.5398051034420517,0.3029760132160702,0.008105831044759877,0.1410553451080711,0.0697786528769877,0.00766430733390976,0.6059557618902862,0.5774409451599658,5.22733990334798,0.0028358,0.0064,NA,NA,NA,NA
SG-188,A7,2020-10-17T00:00:00Z,1899-12-31T10:44:00Z,NA,4.920000000000001,NA,3.418251102182014,0.9275240508768172,0.0676217301077825,0.029391669608263744,0.0667773814012782,3.7782093840158346,1.4837430440328883,0.3828658176696371,0.07318430500073059,0.30968151266890653,0.006417428783166049,9.5e-4,0.580983675413802,0.37180716091145377,0.030537160650188494,0.08192802712403328,0.10723589247802633,0.016777943323620675,0.7845685865231038,0.4534843597635652,4.87033472433499,0.00531952,0.0064,G3,deep_intoC,281757.2500,4870606.0000
